split,domain,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,environment,22,0.06929621148524417,0.39434731204842116,0.15016615181900875,0.27681936468733387,0.6221515319564126
val,finance,34,0.07935604316931034,0.3810576968373648,0.14886112812515453,0.3010674206964221,0.6233918140916264
val,healthcare,43,0.029083676102909926,0.3142755976770142,0.07012377375979474,0.21465611560815637,0.6228498220443726
val,demographics,35,0.04414495016875539,0.32598763484054244,0.08401039094028853,0.2420965097781793,0.6238210269383022
val,work_experience,52,0.06771673865952552,0.33837946841617783,0.1113773201628211,0.2596337567216461,0.6226476087019994
val,education,43,0.06223764408379161,0.36396307594018096,0.13109919836136605,0.28688520705949433,0.6222160500149394
val,social_issues,28,0.07630721749508675,0.383043703227119,0.14816088163937416,0.29567749865571,0.6227710034166064
val,lifestyle,31,0.047398943994716065,0.32803959879120886,0.11041862486840792,0.25312523048466556,0.624074193739122
val,technology,29,0.06462186213218399,0.33468949800679404,0.11111051875875394,0.2514104737620522,0.6244586706161499
val,consumer_preferences,39,0.07407312099990845,0.3518045403984967,0.1398215786246231,0.2705212714702877,0.6205285695882944
test,demographics,43,0.05110946556290916,0.36325867373636544,0.10109496102654,0.2611512200022236,0.6243761015492816
test,finance,36,0.06513508467771328,0.36508234718633464,0.13269864496688386,0.27470187911995503,0.6243709690041013
test,healthcare,39,0.052476652885416544,0.32316805402501214,0.0936773020258927,0.22548642207676606,0.625804250056927
test,consumer_preferences,29,0.03969688059029189,0.32033935499493,0.09180808577432381,0.2345574950791219,0.6244602861075566
test,environment,31,0.0898347581636607,0.4066162368276743,0.17557141489620456,0.3198565825639429,0.6259195862277862
test,education,46,0.07148503219477238,0.3713555827903944,0.12883464510659468,0.2840650369935422,0.6255581391894299
test,work_experience,39,0.06749114114536403,0.3389178002248662,0.1089948556781524,0.25265818005875146,0.6255706930771853
test,lifestyle,24,0.06583776748293153,0.3410743745740375,0.11919285410924241,0.2729911153611691,0.6222333312034607
test,social_issues,35,0.07862201729845626,0.36327372213205156,0.15284047776616985,0.2934529695276684,0.6242736509868076
test,technology,36,0.07304629324236406,0.3480169376484778,0.13163603019518386,0.2602957608562011,0.6275792088773515
