split,domain,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,environment,22,0.06502424075029696,0.3913639071980209,0.14023953496007324,0.26877797517300495,0.6493363922292535
val,finance,34,0.10412339299061255,0.4131181192367815,0.17409926365895567,0.32356239586959157,0.6507983751156751
val,healthcare,43,0.06434931743100142,0.356072420941064,0.11910069532762786,0.24922717148488083,0.648342443066974
val,demographics,35,0.10542060376215612,0.4282132337256848,0.17410147408102467,0.31377755836505766,0.6501149211611067
val,work_experience,52,0.10190473441734606,0.42516488075873016,0.17657971690335067,0.3310855630173519,0.6489519809301083
val,education,43,0.09337486123981112,0.41022813161875926,0.16429892805899624,0.3192948406168681,0.6492951359859732
val,social_issues,28,0.10399705724049402,0.3953559941911751,0.17853504636944253,0.30819944599814875,0.6493284489427295
val,lifestyle,31,0.10186581816681345,0.3848667528714132,0.1732261145712088,0.3119690191910832,0.6497817770127328
val,technology,29,0.1266961573662179,0.41443167202993686,0.1920982986297537,0.333619607320305,0.6482955895621201
val,consumer_preferences,39,0.07802971402867193,0.3789899311166059,0.15090073412179209,0.27016677435543396,0.6487678671494509
test,demographics,43,0.0872411280971404,0.4370370135947223,0.15161822974360603,0.30592034281024055,0.6445840014967807
test,finance,36,0.08219403623517081,0.3797703776501732,0.1502458427885397,0.2894976818894796,0.6462089518706003
test,healthcare,39,0.08318131520871583,0.35791975409047794,0.1329524683340088,0.2577239499365092,0.6442185151271331
test,consumer_preferences,29,0.05644572750256426,0.3480399415122951,0.1178704007486341,0.2683416179716762,0.6435060275012049
test,environment,31,0.09396723549821201,0.43960086135237597,0.18609285207551768,0.32368970340271225,0.6447886709244021
test,education,46,0.09590248900275382,0.4035919608368502,0.16965586314217349,0.30979364307017315,0.6455312889555226
test,work_experience,39,0.10523297519734684,0.41204918169875565,0.1672825803148279,0.3160103054681708,0.6420159462170724
test,lifestyle,24,0.05054874290472142,0.36992244763387516,0.12111065677291954,0.26618435407463076,0.6440456211566925
test,social_issues,35,0.06375683218266213,0.36794560620088185,0.13497980919031183,0.2870874915624125,0.6442543506622315
test,technology,36,0.07054613298744718,0.38770267596394264,0.140029233024548,0.27245951562621545,0.6449136369758182
