split,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,356,0.0941818568512734,0.40028917340200804,0.16374015604501588,0.3035714723271047,0.6492624637785922
test,358,0.08101747422983194,0.39243759825413554,0.14888517410713198,0.29124008888981595,0.6444447746489967
