split,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,356,0.012959721697264458,0.22419894837949758,0.04400916931576947,0.1479755428229525,0.5348638122001391
test,358,0.014637888514794145,0.22691694720613076,0.047859994504381456,0.14768010503183737,0.5330429313569095
