split,domain,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,environment,22,0.48522870914130445,0.6221232547844623,0.5397905133950347,0.6103077287958784,0.8010875203392722
val,finance,34,0.641185654806285,0.810220373544236,0.63597180807807,0.810220373544236,0.7994341306826648
val,healthcare,43,0.6473107808083722,0.7118059447750095,0.6691708722360503,0.7118059447750095,0.7967982125836749
val,demographics,35,0.6118912351375726,0.7723055022555796,0.6808205941900907,0.763288894674845,0.7837332555225918
val,work_experience,52,0.48779388329558465,0.6277766324892569,0.5289489627193315,0.6025031351362785,0.7896850544672745
val,education,43,0.3490308557106276,0.5097685308137534,0.37898612278315996,0.4760137140878411,0.7846115772114244
val,social_issues,28,0.6099323621423292,0.7700056571048294,0.6325652533317425,0.7651243012197918,0.8132016743932452
val,lifestyle,31,0.516665775520315,0.6085919809603163,0.5466006014977913,0.6015671047782298,0.7918301282390472
val,technology,29,0.5730215615449651,0.7296242339562385,0.5903819365323616,0.7109974425845368,0.7987361879184328
val,consumer_preferences,39,0.34124803515498503,0.588870241502212,0.36457658197398035,0.54578203775666,0.7984475508714334
test,demographics,43,0.615186173982532,0.7291225574971696,0.6166734058114701,0.7098022175940333,0.8084959609563961
test,finance,36,0.6641823396345651,0.8433783432785533,0.6633139628705661,0.8343755079101718,0.7990596128834618
test,healthcare,39,0.6570407722166546,0.7326534145516291,0.6937490364674854,0.7282806663365163,0.8070115080246558
test,consumer_preferences,29,0.3978598799577889,0.6323917206057963,0.40852276787346714,0.6051379242168952,0.8039596306866613
test,environment,31,0.6968694648553855,0.7789513077216565,0.7303202454312978,0.7687093139792264,0.8045921383365509
test,education,46,0.3599370073177814,0.5524512073017684,0.4042788664046096,0.5188396792271355,0.8100618694139563
test,work_experience,39,0.4200036173681507,0.5567497248162034,0.460747473225739,0.5347440468657595,0.7999516603274223
test,lifestyle,24,0.4543995551626791,0.5436309999747829,0.4889246520494314,0.5343121999910213,0.8101061284542084
test,social_issues,35,0.6597841849416944,0.8648057012320871,0.727771951796949,0.8558585997173344,0.8168671301433018
test,technology,36,0.5614552654134655,0.6746205350108269,0.5978376084472896,0.6519621820048592,0.7989410360654196
