split,domain,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,environment,22,0.10888451926401643,0.41095535511803455,0.2326322778953134,0.38640154635369944,0.6531876894560728
val,finance,34,0.12752049856434663,0.39282936222364434,0.20101341726728725,0.3701161561344792,0.6491124068989473
val,healthcare,43,0.06359742983128865,0.27479407766701114,0.10333334675979935,0.23436186752785435,0.6492497962574626
val,demographics,35,0.1093839357764944,0.4241554633223018,0.2086202388042282,0.3805406412913307,0.6487880553518023
val,work_experience,52,0.10072574819465197,0.41124375633091476,0.20166661833004512,0.39395773353018604,0.6495341922228153
val,education,43,0.05200699180016846,0.2869307812770265,0.10826921286727609,0.2600038798091213,0.6441529656565467
val,social_issues,28,0.14286952482420184,0.5034248641661676,0.2820371282190793,0.4786297794656207,0.650404019015176
val,lifestyle,31,0.05694998036808065,0.27820802065983324,0.12106174671339957,0.25466731405461057,0.6505424630257391
val,technology,29,0.0954485319837119,0.38836553742595303,0.18784593252138893,0.3677479750586773,0.6473680159141277
val,consumer_preferences,39,0.10278258954443277,0.3907406324458003,0.198254660715961,0.3708210932954919,0.6507163108923496
test,demographics,43,0.0830629261650232,0.4130925391044897,0.16565033988813208,0.361460243152821,0.6517454261003539
test,finance,36,0.0959920775208432,0.34833753072995677,0.1598921203258934,0.32908862343757117,0.655930734342999
test,healthcare,39,0.05972505635870629,0.26324780020798916,0.12024269319101422,0.24666735336438436,0.652540324590145
test,consumer_preferences,29,0.061174067020013385,0.4028300306030636,0.1320270331426518,0.34887384065349264,0.652122296136001
test,environment,31,0.1145959306869704,0.39146468435570864,0.17222691087666617,0.3580786392844196,0.6531600452238514
test,education,46,0.09944458443499767,0.3403267101412954,0.17533053556448214,0.3294920477276857,0.6513922084932742
test,work_experience,39,0.11034835273331332,0.39488977764108996,0.1783866718639806,0.3606878024798618,0.6513063281010358
test,lifestyle,24,0.06832426898941998,0.31223955784958274,0.13048507864684333,0.2994750075850325,0.6507691790660223
test,social_issues,35,0.2383173872529443,0.5203494748195053,0.3452291565626373,0.5067992431326277,0.6511054124150958
test,technology,36,0.13010065288157288,0.4009760415978166,0.21885592620886737,0.37808774735374323,0.6540875136852264
