split,domain,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,environment,22,0.0748801429191327,0.4059036110507103,0.14360379694142578,0.29111193394388657,0.6486414752223275
val,finance,34,0.0945206682966797,0.4052414790191744,0.17128089669340155,0.31529778209208553,0.6496016856502084
val,healthcare,43,0.06140200543441111,0.3747749521928676,0.12862405693781212,0.2610420751143067,0.6482159841892331
val,demographics,35,0.07407031779893655,0.38864613016798516,0.1339104097151042,0.2840840334181581,0.6495864646775382
val,work_experience,52,0.10517669478874808,0.41151597470888895,0.17063158219561358,0.31231985456880273,0.6485795905956855
val,education,43,0.10727260176022663,0.4169447326532223,0.1780382114310978,0.3226693410520796,0.6488260626792908
val,social_issues,28,0.11216987704955536,0.4260788645821574,0.19022792948798803,0.3402086205568441,0.6490588443619865
val,lifestyle,31,0.09142521321945499,0.40248505459589545,0.1686518744192007,0.310315050853733,0.6499262605943987
val,technology,29,0.0944100398284452,0.3969466528569255,0.16617254726012573,0.29886825609256634,0.6486422666187944
val,consumer_preferences,39,0.06929782857443702,0.3760652824600712,0.15230841582574647,0.27406822626865535,0.6493472777880155
test,demographics,43,0.08345253066680529,0.4431832040722798,0.15863812538727515,0.3098827107028874,0.652982517730358
test,finance,36,0.0970833469843914,0.3946677653040805,0.16332572888110072,0.2975617817748065,0.6508309675587548
test,healthcare,39,0.10701123357956407,0.3791162661589622,0.15203299608401455,0.2850631915927699,0.6519588293173374
test,consumer_preferences,29,0.06884816199319331,0.3909484638529849,0.1376873689932513,0.2937670320045325,0.6530190993999613
test,environment,31,0.1166435473083479,0.4555474357940819,0.21867455697197985,0.3423891771900668,0.652229162954515
test,education,46,0.10662146827332881,0.42933788373541937,0.1864962931156911,0.32890079652210197,0.6534585900928663
test,work_experience,39,0.09284297023595951,0.39194091873525744,0.159383288215158,0.30396165522038754,0.6497490528302315
test,lifestyle,24,0.08248610086033263,0.40670623158895164,0.16118632360756843,0.32279978085646727,0.6517657786607742
test,social_issues,35,0.08045826179668508,0.3922768029740155,0.16261534945821368,0.30527441762452207,0.6513907500675746
test,technology,36,0.07971037645496207,0.3909827912335059,0.15203255060405033,0.28303873872294605,0.6519172489643097
