split,domain,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,environment,22,0.12816649835261223,0.4335105199616018,0.20408649203728588,0.356822359914033,0.6775963252240961
val,finance,34,0.12049701465668688,0.43645872904922517,0.19365026351569625,0.34659101744316667,0.678709279088413
val,healthcare,43,0.10920305552784397,0.4109785974497109,0.17359354849554334,0.32224864883249316,0.6749818754750628
val,demographics,35,0.13068061050196375,0.433412100261867,0.1835445917640752,0.34466139425800746,0.677355876990727
val,work_experience,52,0.1696180360563173,0.4826890625918686,0.24597466165007775,0.39488215466948123,0.6761781435746413
val,education,43,0.11245366376928818,0.424689282200268,0.17499351913325575,0.3357633736252589,0.6752703397773033
val,social_issues,28,0.15861709784594155,0.4749535335630029,0.255399675483968,0.4126686752456023,0.6767199550356183
val,lifestyle,31,0.10513429753153955,0.4334197947011868,0.18760369905898533,0.35209869955273415,0.6771169689393812
val,technology,29,0.10049534868690334,0.3993329245886381,0.15408260495969414,0.32466090035085127,0.6742282797550333
val,consumer_preferences,39,0.11399019182191882,0.4193209861914994,0.19592128415185334,0.3346866777887602,0.6760566708369132
test,demographics,43,0.09721962440049677,0.4762140391371214,0.17423384653027937,0.3515487975402982,0.6797816711802815
test,finance,36,0.1322398356065636,0.4279394983262775,0.20531474633728042,0.34965147199602425,0.681173187163141
test,healthcare,39,0.13650356955059006,0.40428317292696525,0.19755256551601233,0.33224259288935076,0.6786961524914472
test,consumer_preferences,29,0.11553628411498727,0.4181505485042135,0.19151175760403813,0.3375577143870256,0.6792460392261374
test,environment,31,0.15275126119288715,0.46760128130281836,0.24269143998274953,0.3648084815602389,0.6804044842720032
test,education,46,0.15816742587829652,0.4724354021151722,0.23479188095285353,0.3879618972499102,0.6817898750305176
test,work_experience,39,0.12492942118960368,0.4086922205470226,0.1807368773642263,0.33312342974559433,0.6762334429300748
test,lifestyle,24,0.10989702997058066,0.4382474261110532,0.18820057613062172,0.34066074210082026,0.6794467642903328
test,social_issues,35,0.10032858423281342,0.4300531558895783,0.2144250079684846,0.35234685932971005,0.6791539447648185
test,technology,36,0.10742346228523533,0.4345806488769997,0.1969585650791362,0.35453749388474376,0.6798268920845456
