split,domain,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,environment,22,0.056775773670116374,0.29792451411303894,0.12021104899302898,0.2647948703048634,0.5549471730535681
val,finance,34,0.025747883434349934,0.21945451079247918,0.037871305476604014,0.17744608727450736,0.5484255955499762
val,healthcare,43,0.03383150372658961,0.2499705864482609,0.09144576141737797,0.21256000645218162,0.5414134111515311
val,demographics,35,0.017724237645380638,0.2509426787108152,0.050479509303634006,0.18977765125318488,0.5411386404718671
val,work_experience,52,0.030362948232683127,0.2663240665075142,0.0626758090637984,0.21124469811337634,0.5444952799723699
val,education,43,0.028734978268336563,0.23405529313811851,0.06930416052678326,0.2046121716597211,0.5499030213023341
val,social_issues,28,0.04279533352793292,0.22852155432417368,0.07821155681673798,0.21102121900125764,0.5429418746914182
val,lifestyle,31,0.04039417875521098,0.25067671609110226,0.08219455976901528,0.22398520940179076,0.5339625054790128
val,technology,29,0.04486624515084149,0.27486736154701813,0.07133961442962115,0.21568812484831537,0.5424920875450661
val,consumer_preferences,38,0.028046342876291812,0.23773557268210338,0.06613888746796548,0.2019892688956049,0.532017386273334
test,demographics,43,0.06275667701345551,0.31921215244388834,0.10761081998136497,0.26274834193553986,0.5584639809852423
test,finance,36,0.037386428742404346,0.28846522500610644,0.09614508654437605,0.24155718234998094,0.5569840835200416
test,healthcare,39,0.035287132469535326,0.22509514057528818,0.0671140258834647,0.18861298700668405,0.5502202831781827
test,consumer_preferences,29,0.05837029928326256,0.3002379977101243,0.10483440331310515,0.25249643275187356,0.5575606144707779
test,environment,31,0.05324605327671001,0.28825212757542007,0.10734765135241368,0.25993959514517156,0.55636687432566
test,education,46,0.029704600696163208,0.246082021821219,0.06940373171470336,0.21767897151284413,0.5554123339445695
test,work_experience,39,0.022371523986035237,0.2558799000752115,0.058915873297558416,0.1925364304170231,0.5538912430787698
test,lifestyle,24,0.06507433240872103,0.3342538116256532,0.14678919111733954,0.2953448539450211,0.5577316780885061
test,social_issues,35,0.0268133582192292,0.2304668008584732,0.05943216538230907,0.18487707032756623,0.553978681564331
test,technology,36,0.03181425649572761,0.2343643465682272,0.0691741822991823,0.20647499778244682,0.5599050654305352
