split,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,355,0.03332801810661206,0.24967728923830768,0.07095921264942155,0.20903291079079991,0.542928628182747
test,358,0.04091753871569008,0.2691534472581079,0.08563558080364496,0.2269410478004497,0.5559293924097243
