split,domain,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,environment,22,0.1965220849002071,0.5331630426757348,0.25950399502306404,0.3686696247048707,0.6983978206461127
val,finance,34,0.19283291215041362,0.5185366306360768,0.26684594297830583,0.36260570378786,0.6992338527651394
val,healthcare,43,0.1826587106290866,0.5183759971263622,0.24626146509238078,0.3349332694832698,0.7020750766576722
val,demographics,35,0.16595597162657136,0.5050073385049814,0.2433531284915487,0.32188001454563125,0.7013005937848772
val,work_experience,52,0.17641117420815736,0.5185639024011068,0.25836435859549073,0.3566214367252364,0.7026899285041369
val,education,43,0.13865682128990145,0.47096050916906235,0.21120788862992929,0.2934247306090586,0.7039305789526119
val,social_issues,28,0.23247585184325134,0.5283014136228453,0.2913992940093096,0.37752672314927116,0.6996416108948844
val,lifestyle,31,0.15321820062189706,0.4790752078441677,0.21906174167407313,0.30912803293219765,0.7014048349472785
val,technology,29,0.1686063711086308,0.5169173223996689,0.23555632189786466,0.34446148077568056,0.7038202820153072
val,consumer_preferences,39,0.1604897341314797,0.5107119383949686,0.23212834735732002,0.3139259640431496,0.7001365148104154
test,demographics,43,0.1934411487092065,0.5716097265176129,0.2874030900323497,0.36852498536889167,0.7073590201000834
test,finance,36,0.20452811675824972,0.5235364265486413,0.2781461249066996,0.3619539406439028,0.7047273996803496
test,healthcare,39,0.166643922626956,0.5083913537431208,0.23222238482267196,0.3202454253597803,0.7052995531986921
test,consumer_preferences,29,0.1642632717423552,0.5177320496978173,0.23500340033430747,0.3298924822391917,0.7031312420450407
test,environment,31,0.18417220899159997,0.5463525177163385,0.2639684746083741,0.37333350072707927,0.7058650043702894
test,education,46,0.1713102570211614,0.5002066168582663,0.25143677121507596,0.3421016526373264,0.7038274964560634
test,work_experience,39,0.18790777628836383,0.4984990200396359,0.2529343859439586,0.33958271825802017,0.7054767058445857
test,lifestyle,24,0.21152614496972352,0.5624827023716248,0.29343686573260913,0.3899520943645609,0.7034133399526278
test,social_issues,35,0.18137043182226673,0.4853103710705762,0.2283694638093518,0.34534029030212327,0.7039962308747428
test,technology,36,0.15386041764946848,0.5004793536599768,0.21920173083829864,0.32353616423164133,0.704982630080647
