split,domain,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,environment,22,0.09577108610422806,0.4268955319320131,0.16877620408319646,0.31400186004829556,0.6614970700307325
val,finance,34,0.123624076551535,0.4400809931288303,0.2094278218475792,0.3638566808861274,0.6614898478283602
val,healthcare,43,0.05516435728411026,0.3568940275342827,0.1168035630275024,0.25129742812237765,0.6587255333745202
val,demographics,35,0.0960265752186736,0.4187555281355891,0.16230179712137596,0.3087088512137037,0.660620721748897
val,work_experience,52,0.10974344098871866,0.41062681095283293,0.1810554199938528,0.32735930777837496,0.6589000866963313
val,education,43,0.10409719434908445,0.41440561470541515,0.17465669927336155,0.32407255212717967,0.6571176509524501
val,social_issues,28,0.13680131217802,0.45613440999475446,0.2394590445733887,0.37791229289942624,0.6600473778588432
val,lifestyle,31,0.09232591186700755,0.39636222595710763,0.17069484938547408,0.3215478045751701,0.6605981472999819
val,technology,29,0.08831441915934796,0.3938911364273543,0.15757335539891665,0.2974092252651428,0.6577107125315172
val,consumer_preferences,39,0.10099538569402783,0.40399483663427427,0.1958934305557212,0.31226277709088657,0.6580757070810367
test,demographics,43,0.0696957383039896,0.4347300080157449,0.14366948063736862,0.29137799653263624,0.648642314034839
test,finance,36,0.11092360127541173,0.39852310205311664,0.17901588198897275,0.308990296786207,0.6472807907395892
test,healthcare,39,0.10449515982511738,0.36070330034037534,0.1494070260045596,0.27353112807437313,0.6475830200390938
test,consumer_preferences,29,0.09493348267160079,0.38471324039057425,0.1586958262627177,0.3045558168048009,0.6487544939435762
test,environment,31,0.09320590697433014,0.43642987152060353,0.1940750555770061,0.32273797771138635,0.6483981051752644
test,education,46,0.10533958063450856,0.42987378654424585,0.1899102569515109,0.3302607772737895,0.6496784635212111
test,work_experience,39,0.10079023511352903,0.40141025962820814,0.16341818620040827,0.30225673234774425,0.6461176918103144
test,lifestyle,24,0.07300277278775326,0.38473613009360247,0.15164293756105723,0.30780189481646025,0.6481770798563957
test,social_issues,35,0.09518657341106442,0.4073958518653795,0.16888878218991857,0.3177202578179405,0.6477041227476937
test,technology,36,0.07597118753686499,0.3654677721713078,0.13830288084959466,0.2713537901533046,0.6477645072672102
