split,domain,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,environment,22,0.10900844377943134,0.42917429325949236,0.17914105278667902,0.3264471150104646,0.6564039587974548
val,finance,34,0.11374153214417504,0.4221807928841417,0.1966658234709751,0.33936698634547335,0.6572560843299416
val,healthcare,43,0.05427245798714714,0.35548690339678024,0.10851554977440508,0.24446367642441802,0.6535149452298187
val,demographics,35,0.09205120185008973,0.39963085071843313,0.1490522690092487,0.3032186993383588,0.6562564304896763
val,work_experience,52,0.10165897616528784,0.4003055254241896,0.16215218962228753,0.3083988019967411,0.654063989336674
val,education,43,0.09469251333230226,0.4058143360397644,0.16838735892857365,0.32086398199526145,0.652734074481698
val,social_issues,28,0.1259964694203735,0.46899987043233876,0.23232231135200482,0.38378030916137357,0.6553255106721606
val,lifestyle,31,0.09199766129845842,0.39280580975225243,0.17295743714964876,0.31509747955526757,0.6562706135934399
val,technology,29,0.10182227648812912,0.40290581943551507,0.17489601323890042,0.31753540893159077,0.6527914055462541
val,consumer_preferences,39,0.09383624360743295,0.3985681893971258,0.18673367855599568,0.3003750482880905,0.6536543399859698
test,demographics,43,0.08114074782930797,0.43157458612951777,0.15987447955876577,0.3105890506469677,0.6532986857170282
test,finance,36,0.10078035556162324,0.40516120152273416,0.17436144898737033,0.3143802802804729,0.6525415463580025
test,healthcare,39,0.10418965155184513,0.3740862866382138,0.15154625527304869,0.28127736477403875,0.6530941388545892
test,consumer_preferences,29,0.07505826182097897,0.3798483039933513,0.15042064504623714,0.29176773607262324,0.6537573234788303
test,environment,31,0.1452376640715395,0.4695731428595007,0.23997027680877864,0.36039548585122094,0.6529864591936911
test,education,46,0.11345088440445646,0.4422542948379732,0.18146425770501864,0.3372012320501332,0.652822970048241
test,work_experience,39,0.08963105692350938,0.3880143321661898,0.14709974643551982,0.28832588948050103,0.6514744590490292
test,lifestyle,24,0.07042443119068,0.3533992594793314,0.13032765583802816,0.2811053846143694,0.6518730819225311
test,social_issues,35,0.12957281916805855,0.4334191985590659,0.20001904297305798,0.3487677287539104,0.6517594882420131
test,technology,36,0.07400771799558786,0.3743375357415782,0.13582381914452107,0.2679023796039559,0.6533002439472411
