split,domain,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,environment,22,0.054107499839757295,0.3353326143837847,0.12871307199892623,0.21048106522065868,0.5312557247552004
val,finance,34,0.07391630150935653,0.3602565269863155,0.15033683533595701,0.23674933195853018,0.5324075958308052
val,healthcare,43,0.03814600882674658,0.2983403392262778,0.09206097435880624,0.18951076295474464,0.5310834563055704
val,demographics,35,0.05461877249853988,0.35120450716783397,0.1323083244397946,0.2108572337118337,0.5344324145998274
val,work_experience,52,0.053433898154156674,0.336567967994935,0.12662542725142056,0.21329930380623374,0.5324086099863052
val,education,43,0.049435027026642105,0.33933332694105756,0.11995929027133496,0.22272688828662734,0.5320112954738528
val,social_issues,28,0.05725774670441105,0.34594567442549723,0.13158703320269777,0.22889274429973158,0.5295202519212451
val,lifestyle,31,0.052583235629770866,0.3288546035501329,0.11174867549482755,0.2156191606890059,0.531634021189905
val,technology,29,0.05597148625150091,0.3399074834780007,0.12560159523413025,0.21855226671651365,0.5316869863148393
val,consumer_preferences,39,0.050547089423396516,0.33762719882970205,0.10672792448627465,0.20477927335932053,0.53115569628202
test,demographics,43,0.04298668987764882,0.3677785453302192,0.1171798262903158,0.2123692053621794,0.5353729641714762
test,finance,36,0.049103675334244846,0.3365308301370445,0.12183615417076123,0.21233762808141074,0.5361314233806398
test,healthcare,39,0.060412576029785614,0.3407684838467051,0.12979398390531374,0.22219219749701002,0.5348936304067954
test,consumer_preferences,29,0.07585817701201206,0.32676491296192706,0.13401657360557429,0.2221138746451205,0.5359170950692276
test,environment,31,0.060111013842345906,0.35137084264884055,0.1462856677208109,0.23088809009470201,0.5359429370972418
test,education,46,0.06999728682126166,0.3543324557628006,0.13835638414399584,0.2289778883864419,0.5373811708844226
test,work_experience,39,0.05068246767133571,0.32934608136061133,0.11702517067507302,0.1999269090111479,0.5338629178511791
test,lifestyle,24,0.05563673082658215,0.3382601558829541,0.11887665724417457,0.2062777956600498,0.5365720962484678
test,social_issues,35,0.06000595171014308,0.3278081736397302,0.12866566885407507,0.22311583498216195,0.5339315227099828
test,technology,36,0.05123760925027302,0.3236047937486899,0.11687770270315835,0.21386468021171756,0.5389524913496442
