split,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,356,0.08913274300113977,0.42324186150889553,0.16510955602941568,0.29562605123446584,0.650638832135147
test,358,0.09451616021783636,0.4315322500419439,0.16889562669908018,0.30242859295256275,0.6564394315527804
