split,domain,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,environment,22,0.1646524672348263,0.47893513270787197,0.23649182974867708,0.3829668658083911,0.6467279547994788
val,finance,34,0.08186257361551033,0.3987432576347312,0.15119889044273183,0.3251707150490083,0.6467052890973932
val,healthcare,43,0.07104684468843868,0.36556545807470114,0.1401704683122417,0.29050476792831303,0.6483631411264109
val,demographics,35,0.08659424617693671,0.36780885928704843,0.14536318689171335,0.2931203978188595,0.6499328868729728
val,work_experience,52,0.07807062765196944,0.37690043884101665,0.1429207977643386,0.30105523106404664,0.6516294215734189
val,education,43,0.08446184383164312,0.39844260655528885,0.14213279967723338,0.3026379185309791,0.6478800427081973
val,social_issues,28,0.12406684294344068,0.4183137820479606,0.21485579515666703,0.35779190592988014,0.6486861876079014
val,lifestyle,31,0.056438511228045336,0.31825233117445095,0.10724553552347822,0.2546734179368609,0.6464405117496368
val,technology,29,0.09944662185070022,0.3552511496880064,0.14188247555735944,0.2852316812231953,0.6456281563331341
val,consumer_preferences,39,0.06397273596017103,0.34426738081625075,0.11928758137102242,0.28129594478896547,0.6430650766079242
test,demographics,43,0.08993279817919475,0.39520289816234605,0.1427763503500474,0.30783708988930175,0.6545219767925351
test,finance,36,0.12053663488316214,0.42119802210496615,0.20253589536729502,0.35390653608531,0.6527417335245345
test,healthcare,39,0.06358539569228569,0.33207535156675183,0.11539709703740879,0.2567250964140086,0.6609756900713994
test,consumer_preferences,29,0.08974231648575533,0.3814953241474504,0.14368151615702576,0.31751759081934594,0.6557984002705278
test,environment,31,0.11526496845963337,0.48800470027245507,0.24389152753848628,0.3757965617312082,0.6546136140823364
test,education,46,0.08897286416383877,0.41433349339802267,0.16323097030460848,0.32515011549012607,0.6582240436388098
test,work_experience,39,0.10071533116042095,0.3893483603723285,0.15506924401981928,0.30367285843339725,0.6526499360035627
test,lifestyle,24,0.04725593435280001,0.30634553297036504,0.11045554601503922,0.26512885208823034,0.6540492872397105
test,social_issues,35,0.0954243403981353,0.3897103212173335,0.1685978249767987,0.3242442467775621,0.6583709853036063
test,technology,36,0.07918507909665401,0.36934480701466804,0.1415916413638143,0.294919085733369,0.6573509905073378
