split,domain,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,lifestyle,95,0.04317122283538647,0.36179667254408265,0.11159537502320441,0.2589759412904005,0.6298783107807762
val,social_issues,321,0.057807987204824815,0.369611117933025,0.12368892133589038,0.27444219320475854,0.6399520162110016
test,environment,257,0.049921126693181356,0.3717885251948467,0.11870879785408094,0.25691271188510895,0.6422795947887554
test,lifestyle,158,0.04674966473090864,0.35567223321971614,0.11382130971403312,0.26502661118819865,0.6281808460060554
