split,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,416,0.054465456880073274,0.36782656910622324,0.12092717398082989,0.2709102366377777,0.6376515305959262
test,415,0.04871367852441246,0.3656526839127488,0.1168480192369061,0.2600018590896588,0.6369118783847395
