split,domain,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,environment,22,0.06491882628013917,0.3724454826616476,0.13309807342789015,0.26975197146798496,0.6424322778528387
val,finance,34,0.09720255415875874,0.4013040484320892,0.16322764501023077,0.30733003221258715,0.6405901400481954
val,healthcare,43,0.054421044344684755,0.3503436064901112,0.1095137489129222,0.24764187956446015,0.6399259858353193
val,demographics,35,0.05663457741650234,0.3893290940689189,0.11884902987912861,0.2771410005610004,0.6401327354567391
val,work_experience,52,0.08226901855908811,0.3843477399173321,0.14470959674529588,0.281544042321881,0.6399120963536776
val,education,43,0.08106808354643252,0.39946161824334414,0.14851588218614528,0.2980318025752465,0.6370627893957981
val,social_issues,28,0.08875435128440375,0.4042718343877182,0.17367693475360513,0.3189380865251561,0.6406253491129194
val,lifestyle,31,0.09230059987256092,0.39315993287627543,0.1692437408171417,0.3068507468396383,0.6406583363010038
val,technology,29,0.05558333519640785,0.3618947475310591,0.12216521862642014,0.2636904449578766,0.6386537305239973
val,consumer_preferences,39,0.06594017095099537,0.35169038160567323,0.13139659302757228,0.25408514120168807,0.6396750975877811
test,demographics,43,0.06547634553298876,0.41997387122117946,0.1314187233047403,0.29091958711298754,0.6416476743165836
test,finance,36,0.06232027588525895,0.3494909856307517,0.12610512576079413,0.2572125156991461,0.6412201755576663
test,healthcare,39,0.06170877321173549,0.35250382239561817,0.11520383221020684,0.25710074063012495,0.6400822767844567
test,consumer_preferences,29,0.06774688225896654,0.3630801859768101,0.1351527924711154,0.2751487649230054,0.6409731918367846
test,environment,31,0.10513782842640505,0.42370741376441395,0.18638057266084102,0.3119092534906451,0.6418586027237677
test,education,46,0.0971734700455398,0.43111191054783227,0.17707890706382926,0.3250284685751001,0.644295889398326
test,work_experience,39,0.07904970386947911,0.37022149985952024,0.1403425082465656,0.2820014498077772,0.6389976587051001
test,lifestyle,24,0.059206051506579004,0.36016272268972854,0.11610133117150652,0.25745300539489296,0.642509346206983
test,social_issues,35,0.08084623467896773,0.40352265396546705,0.16292288122149123,0.3178974477252385,0.6419392415455409
test,technology,36,0.07083265081344049,0.35913944726644026,0.1309215554227134,0.25693225466120523,0.6404783593283759
