split,n_examples,bleu,rouge1,rouge2,rougeL,bertscore_f1
val,356,0.07401504638574834,0.3803674312919716,0.1405465038376968,0.2814239915878687,0.6398044161582261
test,358,0.07553922950833589,0.38552642724393704,0.14302196690636074,0.2847732759810107,0.6414180521192497
